"Customer Name","MW-BETHESDA HOSPITAL"
"Account Number","0490067501"
"Recorder ID","104804722"
"Service Address1",""
"Service Address2",""
CityStateZip,"","OH",""

"DATE","TIME","kWh","kQh"
"010605","2230","325.08","390.96"
"010605","2245","319.68","381.24"
"010605","2300","318.6","378"
"010605","2315","317.52","378"
"010605","2330","316.44","378"
"010605","2345","312.12","375.84"
"010605","2400","314.28","375.84"
"010705","0015","315.36","378"
"010705","0030","315.36","375.84"
"010705","0045","312.12","378"
"010705","0100","313.2","372.6"
"010705","0115","313.2","372.6"
"010705","0130","312.12","370.44"
"010705","0145","308.88","368.28"
"010705","0200","311.04","369.36"
"010705","0215","308.88","370.44"
"010705","0230","309.96","372.6"
"010705","0245","314.28","372.6"
"010705","0300","309.96","370.44"
"010705","0315","307.8","371.52"
"010705","0330","308.88","367.2"
"010705","0345","307.8","368.28"
"010705","0400","309.96","366.12"
"010705","0415","305.64","365.04"
"010705","0430","309.96","368.28"
"010705","0445","311.04","367.2"
"010705","0500","309.96","366.12"
"010705","0515","309.96","366.12"
"010705","0530","311.04","368.28"
"010705","0545","325.08","374.76"
"010705","0600","327.24","375.84"
"010705","0615","332.64","382.32"
"010705","0630","331.56","378"
"010705","0645","334.8","388.8"
"010705","0700","339.12","395.28"
"010705","0715","347.76","397.44"
"010705","0730","354.24","403.92"
"010705","0745","360.72","408.24"
"010705","0800","362.88","409.32"
"010705","0815","371.52","415.8"
"010705","0830","376.92","420.12"
"010705","0845","378","421.2"
"010705","0900","383.4","425.52"
"010705","0915","393.12","430.92"
"010705","0930","394.2","435.24"
"010705","0945","395.28","435.24"
"010705","1000","400.68","437.4"
"010705","1015","397.44","435.24"
"010705","1030","394.2","432"
"010705","1045","399.6","435.24"
"010705","1100","403.92","440.64"
"010705","1115","403.92","441.72"
"010705","1130","398.52","437.4"
"010705","1145","401.76","439.56"
"010705","1200","401.76","441.72"
"010705","1215","401.76","441.72"
"010705","1230","399.6","438.48"
"010705","1245","403.92","441.72"
"010705","1300","400.68","439.56"
"010705","1315","399.6","441.72"
"010705","1330","394.2","436.32"
"010705","1345","397.44","435.24"
"010705","1400","397.44","437.4"
"010705","1415","387.72","428.76"
"010705","1430","387.72","430.92"
"010705","1445","392.04","432"
"010705","1500","384.48","428.76"
"010705","1515","382.32","428.76"
"010705","1530","381.24","428.76"
"010705","1545","378","427.68"
"010705","1600","373.68","424.44"
"010705","1615","370.44","423.36"
"010705","1630","372.6","424.44"
"010705","1645","366.12","419.04"
"010705","1700","357.48","409.32"
"010705","1715","351","406.08"
"010705","1730","345.6","402.84"
"010705","1745","341.28","398.52"
"010705","1800","334.8","395.28"
"010705","1815","333.72","393.12"
"010705","1830","328.32","387.72"
"010705","1845","327.24","384.48"
"010705","1900","327.24","389.88"
"010705","1915","322.92","385.56"
"010705","1930","324","386.64"
"010705","1945","321.84","381.24"
"010705","2000","318.6","381.24"
"010705","2015","319.68","384.48"
"010705","2030","320.76","382.32"
"010705","2045","322.92","385.56"
"010705","2100","314.28","380.16"
"010705","2115","318.6","384.48"
"010705","2130","318.6","383.4"
"010705","2145","316.44","384.48"
"010705","2200","315.36","382.32"
"010705","2215","316.44","385.56"
"010705","2230","315.36","382.32"
"010705","2245","314.28","385.56"
"010705","2300","314.28","383.4"
"010705","2315","312.12","381.24"
"010705","2330","306.72","375.84"
"010705","2345","313.2","382.32"
"010705","2400","312.12","380.16"
"010805","0015","311.04","370.44"
"010805","0030","316.44","376.92"
"010805","0045","308.88","378"
"010805","0100","308.88","376.92"
"010805","0115","307.8","372.6"
"010805","0130","306.72","372.6"
